Unnamed: 0,year,price,ranks,title,no_of_reviews,ratings,author
6,2017,9.65,7,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,"29,420",4.5,J. D. Vance
7,2017,9.49,8,Astrophysics for People in a Hurry,"20,814",4.7,Neil deGrasse Tyson
8,2017,4.78,9,First 100 Words: A Padded Board Book,"35,271",4.7,Roger Priddy
9,2017,14.68,10,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,
10,2017,14.35,11,The Handmaid's Tale,"60,771",4.4,Margaret Atwood
11,2017,7.57,12,The 5 Love Languages: The Secret to Love that Lasts,"69,992",4.8,Gary Chapman
12,2017,8.45,13,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,"35,432",4.7,Jen Sincero
13,2017,11.8,14,What Happened,"6,914",4.6,Hillary Rodham Clinton
14,2017,8.48,15,"Oh, the Places You'll Go!  ","42,931",4.9,Dr. Seuss
15,2017,11.58,16,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,
16,2017,7.48,17,1984,"72,590",4.7,George Orwell
17,2017,10.5,18,How to Win Friends & Influence People,"79,262",4.7,Dale Carnegie
18,2017,13.49,19,Origin: A Novel (Robert Langdon),"36,273",4.4,Dan Brown
19,2017,7.63,20,A Man Called Ove: A Novel,"57,079",4.7,Fredrik Backman
20,2017,9.0,21,The Sun and Her Flowers,"16,987",4.8,Rupi Kaur
21,2017,5.0,22,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,
22,2017,7.74,23,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"86,825",4.7,Don Miguel Ruiz
23,2017,3.97,24,The Going-To-Bed Book,"15,431",4.8,Sandra Boynton
24,2017,18.29,25,StrengthsFinder 2.0,Gallup,4.1,
25,2017,8.55,26,The Wonderful Things You Will Be,"25,210",4.9,Emily Winfield Martin
26,2017,10.04,27,The Shack: Where Tragedy Confronts Eternity,"23,402",4.7,William P. Young
27,2017,8.32,28,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,
28,2017,15.29,29,"Option B: Facing Adversity, Building Resilience, and Finding Joy","3,061",4.5,Sheryl Sandberg
29,2017,19.62,30,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,
0,2018,16.5,1,Becoming,"123,317",4.8,Michelle Obama
